2026-04-04  02:53:07.080 | info | d1ejj01fmcrar4 | CUDA Version 12.4.1\n
2026-04-04  02:53:07.080 | info | d1ejj01fmcrar4 | \n
2026-04-04  02:53:07.080 | info | d1ejj01fmcrar4 | ==========\n
2026-04-04  02:53:07.080 | info | d1ejj01fmcrar4 | == CUDA ==\n
2026-04-04  02:53:07.080 | info | d1ejj01fmcrar4 | ==========\n
2026-04-04  02:53:07.080 | info | d1ejj01fmcrar4 | \n
2026-04-04  02:51:50.465 | info | npnamr2cdlm6gj | --- Starting Serverless Worker |  Version 1.8.2 ---\n
2026-04-04  02:51:50.465 | info | npnamr2cdlm6gj | \n
2026-04-04  02:51:50.465 | info | npnamr2cdlm6gj | A copy of this license is made available in this container at /NGC-DL-CONTAINER-LICENSE for your convenience.\n
2026-04-04  02:51:50.465 | info | npnamr2cdlm6gj | \n
2026-04-04  02:51:50.465 | info | npnamr2cdlm6gj | https://developer.nvidia.com/ngc/nvidia-deep-learning-container-license\n
2026-04-04  02:51:50.465 | info | npnamr2cdlm6gj | By pulling and using the container, you accept the terms and conditions of this license:\n
2026-04-04  02:51:50.465 | info | npnamr2cdlm6gj | This container image and its contents are governed by the NVIDIA Deep Learning Container License.\n
2026-04-04  02:51:50.465 | info | npnamr2cdlm6gj | \n
2026-04-04  02:51:50.465 | info | npnamr2cdlm6gj | Container image Copyright (c) 2016-2023, NVIDIA CORPORATION & AFFILIATES. All rights reserved.\n
2026-04-04  02:51:50.465 | info | npnamr2cdlm6gj | \n
2026-04-04  02:51:50.465 | info | npnamr2cdlm6gj | CUDA Version 12.4.1\n
2026-04-04  02:51:50.465 | info | npnamr2cdlm6gj | \n
2026-04-04  02:51:50.465 | info | npnamr2cdlm6gj | ==========\n
2026-04-04  02:51:50.465 | info | npnamr2cdlm6gj | == CUDA ==\n
2026-04-04  02:51:50.465 | info | npnamr2cdlm6gj | ==========\n
2026-04-04  02:51:50.464 | info | npnamr2cdlm6gj | \n
2026-04-04  02:47:53.300 | info | 1jh3qi0kiklu26 | Finished.
